platform,liquidity_quintile,liquidity_quintile_label,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,primary_liquidity_metric_name,median_primary_liquidity,min_primary_liquidity,max_primary_liquidity
kalshi,1,Q1 Lowest,110804,20,0.034354535937330774,-0.030169488466120366,-0.022926634768740038,0.017761488234569307,volume_contracts,144.0,100.0,214.0
kalshi,2,Q2 Low-Mid,110804,20,0.030255766939821665,-0.024865167322479335,-0.017642035529908007,0.01676131322094051,volume_contracts,322.0,214.0,503.0
kalshi,3,Q3 Mid,110804,20,0.02905256127937619,-0.020967654597306967,-0.017420450506194132,0.01702263599853957,volume_contracts,847.0,503.0,1390.0
kalshi,4,Q4 Mid-High,110804,20,0.029265459730695623,-0.018259358867910924,-0.019609918311284606,0.016124277668056394,volume_contracts,2529.0,1390.0,5693.0
kalshi,5,Q5 Highest,110804,20,0.01844996570520921,-0.00823878199342983,-0.015088373857779743,0.011522311631309463,volume_contracts,17213.0,5693.0,273312857.0
polymarket,1,Q1 Lowest,51398,20,0.017373924176761518,-0.01589072501386965,-0.0007872417370627197,-0.020927141796174786,volume_usd,365.002422,0.0,1245.533326
polymarket,2,Q2 Low-Mid,51398,20,0.011239687324913558,-0.010496037694628703,-0.004254206017876176,-0.003045189702133204,volume_usd,2728.650629,1245.5528,5442.720501
polymarket,3,Q3 Mid,51398,20,0.005454383521769809,-0.002521604186673755,-0.0036964752471078896,0.0021788235154738484,volume_usd,9985.196018499999,5442.836758,17254.130991
polymarket,4,Q4 Mid-High,51398,20,0.006126576662677537,-0.0005734591160672403,-0.002640959912938044,0.0016489820691779366,volume_usd,32235.3815395,17254.815406,64355.286746
polymarket,5,Q5 Highest,51398,20,0.00935576746026956,0.001027335396219791,-0.000921481500411241,0.0005475895350832393,volume_usd,164954.58845749998,64363.359086,1531479284.504353
