platform,horizon_label,horizon_hours,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,median_actual_hours_before_close,mean_actual_hours_before_close,median_hours_before_close_gap,mean_hours_before_close_gap
kalshi,30d,720.0,11089,20,0.017342411398683387,-0.007850121742267112,-0.012928724024082345,0.014495602690118932,770.4483333333334,971.1416032905482,50.44833333333338,251.1416032905482
kalshi,7d,168.0,22965,20,0.016595253646853922,-0.01224689745264532,-0.013504690790733295,0.010079569389188,191.4113888888889,343.14276710936934,23.411388888888894,175.14276710936932
kalshi,3d,72.0,58329,20,0.009576882854154884,-0.00790361569716608,-0.0038795650056808934,0.004726722180166549,87.68722222222222,154.90512817618833,15.687222222222218,82.90512817618833
kalshi,1d,24.0,157177,20,0.013080667018711386,-0.012937770793436696,-0.006954559168233191,-0.004458222615884225,29.599722222222223,63.862614071679985,5.599722222222223,39.86261407167998
kalshi,6h,6.0,327421,20,0.013251715681034507,-0.01292455279288744,-0.00976003328554385,-0.000491844840699694,9.794444444444444,29.23715464273146,3.7944444444444443,23.23715464273146
kalshi,1h,1.0,428582,20,0.020296862677387287,-0.01942790411169857,-0.014025176251340563,0.0020909110900974534,5.426666666666667,20.657842246187556,4.426666666666667,19.657842246187556
polymarket,30d,720.0,19852,20,0.010064166574223347,-0.008926707681007163,-0.004683930695929429,-0.005339790039377725,749.2969444444445,1584.7609095501152,29.296944444444478,864.7609095501152
polymarket,7d,168.0,59287,20,0.009615975818987361,-0.00820564537542257,0.0006413591276595403,-0.020940992231726286,179.91027777777776,564.4444221049022,11.910277777777765,396.4444221049021
polymarket,3d,72.0,100511,20,0.009311014856179075,-0.008892281569249516,-0.001544198210810484,-0.014855474652025765,96.23972222222223,342.70087355833914,24.239722222222227,270.7008735583391
polymarket,1d,24.0,134413,20,0.008140716531181673,-0.005978501343715779,0.0005811707388854964,-0.016422215626475948,31.75888888888889,240.08523831193577,7.75888888888889,216.08523831193577
polymarket,6h,6.0,181455,20,0.008253622102166252,-0.006662295529574711,0.0016365682972651332,-0.020480382594994122,8.7925,169.89347324252418,2.7925000000000004,163.89347324252418
polymarket,1h,1.0,232300,20,0.006544412044171403,-0.005746779766122124,-0.0005364638994422641,-0.011588649603402083,1.9697222222222222,129.32089681924714,0.9697222222222222,128.32089681924714
